Title;Genre ID;Publisher;Platform release date;Original release date
Hotline Miami;18;Devolver Digital;2020.09.22;2013.06.25
Hotline Miami 2: Wrong Number;18;Devolver Digital;2020.09.22;2015.03.10
House of the Dead: Remake;18;Forever Entertainment;2022.04.28;2022.04.07
Human: Fall Flat;14;Curve Digital;2020.10.01;2016.07.22
Hundred Days - Winemaking Simulator;19;Broken Arms Games;2021.05.13;2021.05.13
Hunting Simulator 2;19;Nacon;2021.11.30;2017.06.16
Ice Age: Scrat?s Nutty Adventure;1;Outright Games;2021.08.13;2019.10.16
Immortals: Fenyx Rising;1;Ubisoft;2020.12.03;2020.12.03
Into the Breach;22;Subset Games;2020.12.01;2018.02.27
It came from space and ate our brains;18;Triangle Studios;2021.03.02;2013.10.31
Jotun: Valhalla Edition;1;Thunder Lotus Games;2020.05.26;2015.09.29
Journey to the Savage Planet;1;505 Games;2021.02.01;2020.01.29
Judgment;1;Sega;2021.04.23;2018.12.13
Just Dance 2020;16;Ubisoft;2019.11.19;2019.11.05
Just Dance 2021;16;Ubisoft;2020.11.12;2020.11.12
Just Dance 2022;16;Ubisoft;2021.11.04;2021.11.04
Just Shapes & Beats;18;Berzerk Studio;2020.06.30;2018.05.31
Katamari Damacy Reroll;14;Namco;2021.09.07;2004.09.21
Kaze and the Wild Masks;13;SOEDESCO;2021.03.25;2021.03.25
Kemono Heroes;1;NIS America;2021.04.01;2020.02.27
Killer Queen Black;13;Liquid Bit, LLC;2021.03.30;2019.10.11
Kine;14;Gwen Frey;2019.11.19;2019.10.17
Kona;1;Koch Media;2020.08.01;2017.03.17
Lake;1;Whitehorn Games;2022.06.01;2021.09.01
Lara Croft and the Guardian of Light;1;Square Enix;2020.12.22;2010.08.18
Lara Croft and the Temple of Osiris;1;Square Enix;2020.07.15;2014.12.09
Legend of Heroes: Trails of Cold Steel III;17;NIS America;2021.04.01;2017.09.28
Legend of Heroes: Trails of Cold Steel IV;17;NIS America;2021.04.09;2018.09.27
Legend of Keepers: Career of a Dungeon Manager;24;Goblinz Publishing;2021.04.29;2021.04.29
Life Is Strange Remastered;1;Square Enix;2022.02.01;2022.02.01
Life Is Strange: Before the Storm Remastered;1;Square Enix;2022.02.01;2022.02.01
Life Is Strange: True Colors;1;Square Enix;2021.09.09;2021.09.09
Little Big Workshop;19;HandyGames;2020.11.05;2019.10.17
Little Nightmares;14;Bandai Namco Entertainment;2020.06.01;2017.04.28
Little Nightmares II;14;Bandai Namco Entertainment;2021.02.10;2021.02.10
Lost Words: Beyond the Page;13;Modus Games;2020.03.27;2020.03.27
Lumote: The Mastermote Chronicles;13;Wired Productions;2022.05.01;2020.03.24
Mad Streets;12;Craftshop Arts Inc;2022.03.15;2020.06.16
Madden NFL 21;21;Electronic Arts;2021.01.28;2020.08.28
Madden NFL 22;21;Electronic Arts;2021.08.20;2021.08.20
Mafia III Remastered;1;2K Games;2021.10.01;2016.10.07
Marvel's Avengers;1;Square Enix;2020.09.01;2020.09.01
Merek's Market;19;Big Village Games;2021.09.14;2021.09.14
Metro 2033 Redux;18;Deep Silver;2020.06.23;2014.08.26
Metro Exodus;18;Deep Silver;2019.11.19;2019.02.15
Metro: Last Light Redux;18;Deep Silver;2020.06.23;2014.08.26
Monopoly;4;Ubisoft;2020.04.28;2014.11.25
Monopoly Madness;12;Ubisoft;2021.12.09;2021.12.09
Monster Boy and the Cursed Kingdom;13;FDG Entertainment;2020.07.01;2018.12.04
Monster Energy Supercross: The Official Videogame 3;15;Milestone srl;2020.02.04;2020.02.04
Monster Energy Supercross: The Official Videogame 4;15;Milestone srl;2021.03.11;2021.03.11
Monster Jam Steel Titans;15;THQ Nordic;2020.12.01;2019.06.25
Monster Jam Steel Titans 2;15;THQ Nordic;2021.03.02;2021.03.02
Moonlighter;0;11 Bit Studios;2021.07.01;2018.05.29
Mortal Kombat 11;7;Warner Bros. Interactive Entertainment;2019.11.19;2019.04.23
MotoGP 20;15;Milestone srl;2020.04.23;2020.04.23
MotoGP 21;15;Milestone srl;2022.02.01;2021.04.22
Murder by Numbers;14;The Irregular Corporation;2021.03.23;2020.03.05
My Friend Peppa Pig;1;Outright Games;2021.10.22;2021.10.22
My Hero: One's Justice 2;7;Bandai Namco;2022.02.15;2020.03.12
Nanotale - Typing Chronicles;1;Fishing Cactus;2021.03.31;2021.03.31
NBA 2K20;21;2K Sports;2019.11.19;2019.09.06
NBA 2K21;21;2K Sports;2020.09.04;2020.09.04
Nine to Five;18;Redhill Games;2021.12.08;2021.08.26
Octopath Traveler;17;Square Enix;2020.04.28;2018.07.13
OddBallers;12;Game Swing;2022.03.24;2022.03.24
Olympic Games Tokyo 2020 - The Official Video Game;21;Sega;2021.06.22;2019.07.24
One Hand Clapping;1;HandyGames;2021.12.14;2021.12.14
One Piece World Seeker;0;Bandai Namco;2021.07.20;2019.03.15
Orcs Must Die! 3;18;Stadia Games and Entertainment;2020.07.14;2020.07.14
Outcasters;18;Stadia Games and Entertainment;2020.12.03;2020.12.03
Outriders;18;Square Enix;2021.04.01;2021.04.01
Outward;0;Koch Media;2020.11.30;2019.03.26
Overcooked! All You Can Eat;19;Team17;2022.05.05;2020.11.12
Pac-Man Mega Tunnel Battle;3;Bandai Namco;2020.11.17;2020.11.17
Panzer Dragoon;18;Forever Entertainment;2020.06.01;2020.03.26
PAW Patrol Mighty Pups: Save Adventure Bay;1;Outright Games;2021.08.13;2020.11.06
PAW Patrol the Movie: Adventure City Calls;1;Outright Games;2021.08.13;2021.08.13
PGA Tour 2K21;21;2K Games;2020.08.21;2020.08.21
Phoenix Point;22;Snapshot Games;2021.01.26;2019.12.03
Phogs!;14;Coatsink;2020.12.03;2020.12.03
Pikuniku;14;Devolver Digital;2021.02.09;2019.01.24
